SIGN, B365H, B365D, B365A, BWH, BWD, BWA, IWH, IWD, IWA, LBH, LBD, LBA, PSH, PSD, PSA, WHH, WHD, WHA, SJH, SJD, SJA, VCH, VCD, VCA
-1.00, 3.00, 3.25, 2.38, 2.95, 3.20, 2.35, 2.80, 3.10, 2.30, 2.90, 2.90, 2.40, 3.08, 3.18, 2.59, 2.80, 3.20, 2.38, 2.88, 3.25, 2.38, 3.00, 3.25, 2.50
1.00, 1.57, 3.75, 6.00, 1.60, 3.90, 5.00, 1.60, 3.60, 4.80, 1.61, 3.50, 5.25, 1.61, 4.06, 6.12, 1.60, 3.75, 5.00, 1.62, 3.75, 5.25, 1.65, 3.90, 5.75
-1.00, 5.50, 3.80, 1.62, 5.25, 3.75, 1.60, 4.80, 3.60, 1.60, 5.50, 3.50, 1.57, 6.30, 3.82, 1.64, 5.00, 3.75, 1.60, 5.75, 3.60, 1.62, 6.25, 3.80, 1.62
0.00, 2.55, 3.40, 2.63, 2.40, 3.30, 2.75, 2.50, 3.00, 2.70, 2.45, 3.10, 2.70, 2.73, 3.24, 2.82, 2.38, 3.20, 2.80, 2.50, 3.25, 2.63, 2.62, 3.40, 2.75
-1.00, 3.60, 3.30, 2.05, 3.30, 3.20, 2.15, 3.20, 3.10, 2.10, 3.60, 3.00, 2.05, 3.93, 3.14, 2.19, 3.40, 3.00, 2.15, 3.50, 3.20, 2.05, 3.80, 3.30, 2.10
1.00, 2.60, 3.20, 2.70, 2.75, 3.10, 2.55, 2.60, 3.10, 2.60, 2.65, 2.87, 2.70, 2.83, 3.07, 2.88, 2.70, 3.00, 2.60, 2.63, 3.13, 2.60, 2.70, 3.10, 2.60
0.00, 2.60, 3.00, 2.88, 2.40, 3.10, 2.90, 2.30, 3.10, 2.80, 2.50, 2.90, 2.87, 2.77, 3.20, 2.85, 2.38, 3.10, 2.90, 2.50, 3.13, 2.75, 2.75, 3.13, 2.80
1.00, 1.33, 4.75, 10.00, 1.33, 4.40, 10.00, 1.30, 4.40, 8.50, 1.30, 4.50, 9.50, 1.38, 4.90, 9.95, 1.29, 4.80, 9.50, 1.33, 4.80, 9.00, 1.36, 4.80, 11.00
1.00, 1.36, 4.75, 8.00, 1.30, 4.75, 9.75, 1.30, 4.40, 8.50, 1.35, 4.33, 9.00, 1.38, 4.90, 9.66, 1.36, 4.50, 7.50, 1.36, 4.50, 8.00, 1.36, 4.80, 9.50
-1.00, 3.20, 3.25, 2.25, 3.00, 3.20, 2.30, 3.00, 3.10, 2.20, 3.10, 2.90, 2.30, 3.40, 3.18, 2.37, 3.10, 3.00, 2.30, 3.13, 3.13, 2.30, 3.30, 3.20, 2.38
-1.00, 13.00, 5.25, 1.25, 12.50, 5.00, 1.25, 9.00, 5.00, 1.25, 13.00, 5.50, 1.22, 14.40, 6.20, 1.25, 11.00, 5.00, 1.25, 12.00, 5.50, 1.22, 15.00, 6.00, 1.25
-1.00, 7.00, 4.00, 1.50, 5.75, 3.80, 1.55, 5.50, 3.80, 1.50, 6.50, 3.60, 1.50, 7.32, 4.04, 1.55, 6.00, 3.60, 1.55, 6.50, 3.80, 1.50, 7.50, 4.00, 1.53
1.00, 1.57, 3.80, 6.00, 1.57, 3.70, 5.75, 1.60, 3.60, 4.80, 1.55, 3.50, 6.00, 1.57, 4.00, 7.00, 1.60, 3.50, 5.50, 1.53, 3.75, 6.25, 1.55, 4.00, 7.00
1.00, 2.10, 3.25, 3.60, 1.95, 3.40, 3.60, 1.90, 3.20, 3.60, 2.10, 3.10, 3.25, 2.18, 3.43, 3.58, 2.05, 3.25, 3.40, 2.10, 3.25, 3.30, 2.15, 3.40, 3.50
0.00, 3.60, 3.30, 2.05, 3.20, 3.20, 2.05, 3.30, 3.20, 2.00, 3.60, 3.10, 2.00, 3.64, 3.44, 2.15, 3.50, 3.30, 2.00, 3.40, 3.25, 2.10, 3.50, 3.30, 2.05
1.00, 1.08, 9.00, 29.00, 1.08, 9.00, 23.00, 1.10, 7.00, 15.00, 1.08, 9.50, 26.00, 1.09, 12.83, 37.61, 1.10, 8.00, 17.00, 1.07, 9.00, 26.00, 1.09, 11.50, 29.00
-1.00, 9.00, 5.00, 1.33, 7.75, 4.75, 1.35, 8.00, 4.20, 1.33, 9.00, 4.75, 1.30, 9.24, 5.19, 1.38, 8.00, 4.60, 1.33, 8.00, 4.50, 1.36, 9.50, 5.00, 1.36
1.00, 1.85, 3.30, 4.50, 1.90, 3.30, 4.00, 1.85, 3.20, 3.80, 1.83, 3.00, 4.50, 1.95, 3.38, 4.50, 1.85, 3.20, 4.20, 1.90, 3.30, 4.00, 1.91, 3.30, 4.75
